RelA.Amplitude,RelA.Peaktime,RelA.AUC,RelA.NOC,RelA.Duration,RelA.1st.rising.slope,RelA.Attenuation.rate,RelA.Period,cRel.Amplitude,cRel.Peaktime,cRel.AUC,cRel.NOC,cRel.Duration,cRel.1st.rising.slope,cRel.Attenuation.rate,cRel.Period,ligand
735.036444,0.816666667,30807.29093,1,10.03333333,786.196769,-36.81973981,3.15,389.2221975,1.75,18661.02331,3,11.78333333,316.4136066,-15.67667622,2.52,LPS1  
987.3179117,1.283333333,39780.69143,0,12.25,778.9164933,-40.46662535,6.3,682.5440255,1.4,32886.66396,1,12.6,442.9680029,-19.70178562,1.05,LPS1  
1397.731802,0.583333333,63481.01976,0,12.6,2413.848356,-34.48206488,6.3,945.1357763,1.633333333,40539.81591,0,12.48333333,925.1251481,-12.47230722,12.6,LPS1  
418.2264748,0.466666667,14826.64324,5,10.96666667,400.813565,-8.96166538,2.52,273.3301229,0.466666667,14015.57919,5,12.36666667,103.8870391,5.656078629,3.15,LPS1  
1203.544193,0.7,59743.93256,1,12.6,1571.474389,-41.6958757,2.52,738.5316597,1.633333333,35214.28564,0,12.48333333,714.1440851,-19.53083678,12.6,LPS1  
1174.300322,0.7,54890.26101,0,10.38333333,866.7963053,-79.66544141,12.6,637.0737116,1.283333333,36605.04148,0,12.6,491.8139803,-20.42276413,12.6,LPS1  
906.7982138,1.05,36110.06371,0,12.6,731.9721626,-20.09614976,12.6,633.7089004,1.4,24746.51379,0,12.6,349.4709574,-4.533315779,12.6,LPS1  
1143.537176,1.516666667,62638.54652,0,12.36666667,339.7575394,-48.80843756,12.6,583.6037781,1.983333333,40843.36034,1,12.25,500.9078038,-27.0596949,2.1,LPS1  
917.4289217,0.7,43065.33662,1,12.6,1097.430616,-24.20403772,3.15,637.3883375,1.633333333,34955.11053,0,12.6,322.0150401,0,12.6,LPS1  
972.9755348,0.583333333,39736.53184,0,10.85,753.3348099,-61.60636955,12.6,642.1372589,1.166666667,36643.78459,0,12.6,661.9722738,-11.0248709,12.6,LPS1  
1401.935612,0.583333333,45064.38542,0,11.9,315.5335302,-49.17116473,6.3,803.1115994,1.166666667,38444.58266,1,12.48333333,740.686933,-5.272103202,3.15,LPS1  
1318.938726,1.05,58529.95077,0,11.31666667,431.8141618,-73.21732524,12.6,635.8679592,1.633333333,36608.15533,0,12.48333333,681.5760973,-13.63409656,6.3,LPS1  
1372.326602,0.583333333,52623.65882,0,10.15,914.0660369,-78.59208076,12.6,667.8924668,1.516666667,28939.60292,0,12.01666667,424.8540289,-27.86289141,12.6,LPS1  
987.0660106,1.516666667,26614.25501,1,5.483333333,-38.09485363,-49.90357351,2.52,618.4705852,1.516666667,16084.76078,1,9.333333333,336.7544738,-25.13457538,2.52,LPS1  
451.7407457,0.7,26462.51367,1,10.03333333,346.0691292,-35.87680338,1.575,367.8883896,0.7,23979.9214,2,12.48333333,245.3322608,-6.961239971,1.575,LPS1  
570.0352276,0.7,24562.18775,2,11.66666667,608.5104512,-12.61812088,3.15,392.6232288,0.816666667,18449.95216,2,12.48333333,306.3764728,3.771766397,3.15,LPS1  
813.696328,0.583333333,51187.18934,4,12.6,895.1104061,-15.06574352,2.52,683.9171521,1.4,34324.24138,3,12.48333333,423.1173773,-2.451544791,2.52,LPS1  
765.3525809,0.583333333,27579.60154,2,8.283333333,707.7137061,-45.08934791,2.52,459.9298053,1.283333333,15749.58366,2,12.48333333,333.89982,-14.81622901,1.8,LPS1  
526.4502635,1.633333333,22078.88294,2,6.883333333,175.174861,-23.18055485,2.1,725.0244681,1.866666667,30095.7894,2,12.48333333,122.8655446,-11.17218027,2.52,LPS1  
820.5313196,2.1,51462.38921,1,12.01666667,566.9874002,-95.9850309,1.4,470.5180542,1.866666667,28931.02132,2,12.13333333,170.2442756,-10.58081693,1.4,LPS1  
928.590078,0.466666667,31478.26472,1,7.466666667,1124.116753,-66.07669806,2.52,507.9581089,0.583333333,22015.06371,2,12.6,437.2825301,-18.71399651,2.52,LPS1  
845.1183326,1.283333333,41810.70155,2,11.9,536.5901735,-62.49336787,1.4,549.9497715,1.166666667,30371.07562,1,12.48333333,121.023604,-24.51061262,1.575,LPS1  
1027.846443,1.283333333,40554.33121,1,12.13333333,810.4635262,-6.409248797,3.15,705.7826411,1.633333333,27184.96702,1,12.48333333,434.5688018,-2.421899247,3.15,LPS1  
1333.46607,0.583333333,64742.08573,0,12.6,1362.475254,-40.69971079,6.3,707.4154505,1.283333333,35449.57685,0,12.6,715.4175801,-1.217219293,6.3,LPS1  
793.1473044,0.816666667,42952.71456,0,10.96666667,1116.372626,-55.37224798,12.6,491.8158057,1.4,24080.96774,1,12.48333333,294.701504,-17.01702156,1.575,LPS1  
929.0318518,1.283333333,26739.63367,0,7.816666667,364.6132749,-53.4976824,12.6,741.9554488,1.283333333,42145.61778,0,12.36666667,477.6919777,-19.44554345,12.6,LPS1  
685.04068,2.216666667,26855.31503,1,10.85,371.4754226,-36.5289316,2.1,693.7142237,2.333333333,35770.18995,1,12.36666667,270.2678422,-5.515631866,2.52,LPS1  
924.2929445,0.7,44316.43627,0,10.85,502.6814957,-60.08117619,12.6,683.9086495,1.75,35885.52386,1,12.48333333,455.3723719,-27.42311376,2.52,LPS1  
1659.778338,0.466666667,48525.16824,0,10.03333333,1184.794727,-95.80426515,12.6,977.2435341,1.166666667,44205.9881,0,12.6,667.580747,-17.73410513,6.3,LPS1  
1065.075378,0.816666667,42042.3693,0,9.45,1673.518496,-68.28130527,6.3,901.6975859,1.516666667,33150.29715,0,10.5,551.5054504,-35.879318,6.3,LPS1  
973.6277699,0.583333333,37789.42981,1,10.26666667,1367.033044,-58.90105447,2.1,595.7081692,1.633333333,26293.83529,1,12.36666667,432.6955532,-25.25228561,1.4,LPS1  
1040.805955,0.933333333,41288.76511,2,12.6,1166.452254,-14.55081632,3.15,580.3103507,1.05,23411.54539,1,12.48333333,384.4515647,1.194354647,3.15,LPS1  
618.7218751,0.583333333,37818.58524,1,12.6,767.2884976,-16.29968842,2.52,535.000739,1.283333333,23115.71441,2,12.6,381.3554555,-13.58874755,2.52,LPS1  
757.4373348,1.166666667,18403.01007,3,8.516666667,493.2373648,-5.365541798,1.8,677.5353696,1.283333333,21969.44746,2,12.36666667,349.8886784,-9.724942166,1.4,LPS1  
